timestamp,cadence,power,SmO2
07:43:28,91,216,16
07:43:29,91,226,18
07:43:30,90,196,15
07:43:31,91,214,17
07:43:32,91,215,13
07:43:33,91,218,16
07:43:34,92,217,13
07:43:35,91,234,14
07:43:36,92,233,16
07:43:37,92,253,15
07:43:38,93,245,16
07:43:39,94,253,13
07:43:40,93,216,17
07:43:41,93,237,17
07:43:42,93,225,16
07:43:43,93,222,19
07:43:44,93,229,14
07:43:45,92,239,18
07:43:46,93,241,17
07:43:47,93,232,16
07:43:48,94,217,18
07:43:49,94,244,16
07:43:50,93,239,17
07:43:51,94,220,16
07:43:52,94,211,17
07:43:53,94,219,19
07:43:54,94,217,14
07:43:55,92,224,16
07:43:56,94,258,14
07:43:57,94,245,14
07:43:58,95,237,16
07:43:59,95,278,13
07:44:00,95,255,14
07:44:01,97,261,16
07:44:02,97,235,13
07:44:03,97,247,16
07:44:04,97,245,16
07:44:05,96,245,16
07:44:06,96,225,18
07:44:07,96,237,14
07:44:08,95,245,16
07:44:09,95,283,17
07:44:10,95,257,13
07:44:11,97,244,15
07:44:12,96,258,16
07:44:13,96,246,18
07:44:14,96,253,19
07:44:15,95,190,20
07:44:16,95,0,24
