Time,SmO2,HBDiff
92.97,15.68,16.85
93.06,16.05,16.81
93.18,15.30,16.74
93.27,14.42,16.63
93.36,14.09,16.53
93.45,14.07,16.51
93.57,13.92,16.52
93.66,13.74,16.49
93.78,13.77,16.43
93.87,14.07,16.36
93.96,14.28,16.28
94.05,13.99,16.21
94.17,13.48,16.14
94.26,12.79,16.09
94.35,12.12,16.08
94.47,11.56,16.00
94.56,11.05,15.80
94.65,11.46,15.62
94.77,12.32,15.54
94.86,12.65,15.49
95.01,12.61,15.41
95.04,12.19,15.35
95.16,11.43,15.28
95.31,11.01,15.17
95.34,11.52,15.06
95.46,11.96,14.96
95.55,11.36,14.87
95.64,10.54,14.80
95.76,10.17,14.70
95.85,10.06,14.60
96.03,9.93,14.56
96.06,8.57,14.49
96.15,6.30,14.36
96.30,5.80,14.27
96.33,6.89,14.19
96.45,7.71,14.08
96.54,8.01,14.00
96.63,7.99,13.94
96.78,7.84,13.92
96.84,8.08,13.92
96.93,8.41,13.88
97.05,8.09,13.75
97.14,7.49,13.59
97.26,7.50,13.50
97.35,7.88,13.45
97.44,7.73,13.37
97.53,6.85,13.31
97.65,6.18,13.23
97.77,6.36,13.13
97.83,6.79,13.01
97.93,6.69,12.91
98.04,6.14,12.84
98.13,5.90,12.76
98.31,6.23,12.70
98.34,6.35,12.60
98.43,5.39,12.47
98.53,3.88,12.39
98.64,3.05,12.29
98.76,2.53,12.15
98.83,1.93,12.07
98.94,2.48,12.00
99.03,3.81,11.88
99.13,4.31,11.78
99.21,3.84,11.74
99.33,2.95,11.68
99.43,2.77,11.61
99.51,3.40,11.54
99.63,3.68,11.46
99.78,3.53,11.40
99.81,3.45,11.39
99.93,3.26,11.31
100.03,2.64,11.19
100.11,2.01,11.18
100.26,2.00,11.14
100.32,2.68,11.00
100.41,3.51,10.89
100.53,3.72,10.77
100.63,3.15,10.69
100.71,2.49,10.72
100.86,2.43,10.73
100.93,2.70,10.66
101.01,2.69,10.56
101.10,2.22,10.47
101.28,1.78,10.40
101.31,1.83,10.38
101.40,1.69,10.37
101.82,1.09,10.22
102.03,0.75,9.97
104.28,0.75,9.69
104.40,0.67,9.29
104.58,0.60,8.89
104.88,0.75,8.70
106.03,1.16,9.65
106.08,2.35,12.23
106.17,3.86,14.97
106.29,5.11,16.59
106.38,5.81,17.27
106.53,5.35,17.50
106.56,5.44,17.62
106.68,7.55,17.89
106.77,10.83,18.59
106.86,14.22,19.54
107.01,16.91,20.35
107.10,18.76,21.03
107.16,20.46,21.65
107.28,21.86,22.19
107.37,22.43,22.71
107.46,22.66,23.15
107.58,23.14,23.54
107.67,24.28,24.02
107.76,26.06,24.66
107.85,27.58,25.42
108.03,28.74,26.13
108.06,30.07,26.83
108.15,31.63,27.49
108.27,32.99,27.97
108.39,33.60,28.34
108.45,33.99,28.80
108.57,34.93,29.39
108.66,36.27,30.02
108.78,37.44,30.55
108.87,38.55,31.00
108.96,40.23,31.56
109.05,42.27,32.22
109.14,43.38,32.86
109.26,43.40,33.31
109.35,43.34,33.58
109.44,43.77,33.85
109.56,44.76,34.25
109.65,45.98,34.78
109.77,46.80,35.36
109.86,47.18,35.87
109.95,47.95,36.30
110.04,49.04,36.69
110.16,49.65,37.03
110.28,50.12,37.41
110.34,50.83,37.90
110.46,51.50,38.47
110.55,52.25,38.97
110.64,53.11,39.45
110.76,53.84,39.93
110.85,54.32,40.35
110.94,54.61,40.74
111.03,54.88,41.12
111.15,55.43,41.50
111.27,56.52,41.92
111.33,57.91,42.34
111.45,58.91,42.71
111.54,58.61,43.06
111.63,57.42,43.43
111.78,56.91,43.74
111.84,57.66,43.99
111.93,59.16,44.29
112.03,60.46,44.64
112.14,61.23,44.97
112.26,61.45,45.28
112.32,61.16,45.57
112.44,60.80,45.84
112.53,60.55,46.06
112.63,60.68,46.21
112.77,61.02,46.32
112.83,60.90,46.52
112.93,60.94,46.85
113.04,61.97,47.13
113.13,63.24,47.30
113.28,64.16,47.42
113.31,64.87,47.54
113.43,65.22,47.65
113.55,64.99,47.78
113.61,64.50,47.97
113.76,64.05,48.14
113.85,63.92,48.23
113.91,64.34,48.30
114.03,64.76,48.36
114.13,64.35,48.42
114.21,63.38,48.51
114.33,63.27,48.59
114.43,64.11,48.60
114.51,64.89,48.63
114.63,65.83,48.75
114.78,66.69,48.86
114.81,66.63,48.93
114.90,66.25,48.99
115.03,66.29,49.01
115.11,66.63,48.99
115.20,66.80,48.87
115.32,67.34,49.07
115.41,67.81,49.60
115.53,67.57,49.31
115.63,68.06,48.04
115.71,68.91,46.76
115.80,69.45,46.19
115.93,70.39,46.54
116.01,71.55,47.29
116.10,71.77,47.45
116.28,70.84,46.71
116.31,70.05,45.91
116.40,70.28,46.12
116.53,71.09,47.18
116.61,71.56,47.74
116.70,71.49,47.37
116.79,70.69,46.58
116.91,69.47,45.84
117.03,68.75,45.92
117.09,69.49,46.85
117.21,71.37,47.19
117.30,72.27,46.42
117.39,71.65,45.69
117.51,71.58,45.88
117.60,72.14,46.59
117.69,72.35,46.95
117.78,72.86,46.60
117.90,72.49,45.72
118.03,70.79,45.04
118.08,69.68,45.46
118.20,69.31,46.53
118.29,69.77,47.00
118.38,71.56,46.74
118.53,72.76,46.25
118.59,72.55,46.10
118.68,71.73,46.64
118.80,70.90,47.25
118.89,70.96,47.33
119.01,71.47,47.06
119.10,71.80,46.84
119.19,71.52,47.17
119.28,70.36,48.14
119.37,69.21,49.02
